X_mm,Y_mm,Timestamp
1467,1140,1771516264.3606837
1459,816,1771516264.4153385
1464,1105,1771516264.4612458
1463,1091,1771516264.5100136
1463,1148,1771516264.5640633
1457,1292,1771516264.616925
1457,1259,1771516264.675456
1458,1300,1771516264.728326
1467,1120,1771516264.7820358
1229,1216,1771516264.8291893
1245,1185,1771516264.8793886
1293,1206,1771516264.9283113
1273,1155,1771516264.9759214
1016,1297,1771516265.0297854
1310,1386,1771516265.0769017
1415,1279,1771516265.126918
1268,1278,1771516265.1754682
962,1181,1771516265.2293475
1500,1163,1771516265.2766244
1254,1249,1771516265.3306005
1471,1240,1771516265.378768
1482,1039,1771516265.4286826
1319,1104,1771516265.47913
1454,1226,1771516265.535505
1461,1062,1771516265.5824318
1462,1055,1771516265.6274333
1453,1130,1771516265.6744142
1305,1229,1771516265.7333362
1458,1015,1771516265.7794082
1458,1042,1771516265.8303022
1472,998,1771516265.8856177
1492,1003,1771516265.9320414
1473,964,1771516265.978899
1466,964,1771516266.0303528
1468,1004,1771516266.0849817
1461,935,1771516266.1428661
1467,925,1771516266.195467
1467,856,1771516266.2440784
1467,996,1771516266.3247805
1464,2611,1771516266.3799832
1494,919,1771516266.4321554
1470,2041,1771516266.479918
1473,975,1771516266.5353808
1484,3256,1771516266.6513133
1467,3122,1771516266.7083492
1464,2362,1771516266.7630584
1467,1855,1771516266.8134158
1473,1758,1771516266.8615541
1473,1616,1771516266.9118526
1476,3363,1771516266.9709892
1471,3033,1771516267.0291507
1468,1539,1771516267.079403
1459,1903,1771516267.1278346
638,1928,1771516267.1748312
651,1551,1771516267.2278354
699,828,1771516267.2678325
653,919,1771516267.322031
646,2671,1771516267.3854766
653,3132,1771516267.4324293
656,1827,1771516267.476759
1601,971,1771516267.5303743
1601,1409,1771516267.5818272
675,2094,1771516267.6313927
669,2403,1771516267.6787732
727,3706,1771516267.7377727
1601,3138,1771516267.7960947
690,2569,1771516267.8454905
742,2808,1771516267.8973236
740,2198,1771516267.9448283
788,1908,1771516267.993095
834,2471,1771516268.0492175
818,2221,1771516268.0991528
831,2071,1771516268.1466625
853,2035,1771516268.1953108
1598,710,1771516268.2462685
1596,1459,1771516268.295873
870,1899,1771516268.345449
877,2052,1771516268.4014292
862,2016,1771516268.44441
864,2419,1771516268.4968107
850,2507,1771516268.5499432
1603,3716,1771516268.6142645
813,2894,1771516268.6612
793,2299,1771516268.7180257
801,2245,1771516268.7608852
1602,1514,1771516268.8121672
731,2304,1771516268.8611624
1620,1396,1771516268.9121485
699,2907,1771516268.963679
674,2360,1771516269.0127382
656,2233,1771516269.0687244
649,2156,1771516269.1118045
1602,1362,1771516269.1617498
1606,1270,1771516269.2109115
577,2203,1771516269.261664
534,2594,1771516269.314437
1477,1723,1771516269.364671
1469,2180,1771516269.4245214
1476,1159,1771516269.462817
1464,1336,1771516269.5137982
1460,842,1771516269.5597644
1454,1005,1771516269.6123345
1467,691,1771516269.6602373
1482,1353,1771516269.7163928
1496,1253,1771516269.7618327
1462,2256,1771516269.8179708
1464,1207,1771516269.863691
1480,888,1771516269.9147859
1467,1094,1771516269.9640205
1474,1320,1771516270.0142107
1487,655,1771516270.0616975
1475,3700,1771516271.4577901
1476,2665,1771516271.518858
1485,3688,1771516271.5793762
1476,2657,1771516271.6277835
1468,2033,1771516271.679862
1498,2026,1771516271.7430446
1494,3696,1771516271.7934904
1468,2298,1771516271.8453689
1493,1457,1771516271.8952627
1468,1367,1771516271.9471197
1463,1719,1771516271.9984875
1472,1550,1771516272.0458074
1498,1863,1771516272.0985243
1473,1230,1771516272.1453118
1497,1521,1771516272.1975281
1463,1825,1771516272.2470868
1465,3721,1771516272.3097563
1463,922,1771516272.3617244
1468,2435,1771516272.4130385
1472,1824,1771516272.4616792
1498,1735,1771516272.5116606
1464,1866,1771516272.5660868
1495,1540,1771516272.614113
1460,1227,1771516272.6637444
1466,1791,1771516272.7118442
1463,1777,1771516272.7620592
1485,860,1771516272.808667
1499,1998,1771516272.861482
1616,1517,1771516272.9218028
1492,600,1771516272.9654825
1478,3722,1771516273.5523806
1485,3263,1771516273.611339
1470,1807,1771516273.6664617
1459,2201,1771516273.7139716
1462,1234,1771516273.7605464
1463,1146,1771516273.811355
1496,1121,1771516273.8620667
1615,923,1771516273.9130268
1618,1385,1771516273.9618223
1467,1330,1771516274.0114293
1462,1367,1771516274.0608613
1468,1122,1771516274.1103923
1462,1102,1771516274.161637
1467,1964,1771516274.2217758
1477,1598,1771516274.2640052
1468,2462,1771516274.3180585
1471,3686,1771516274.381904
1462,1640,1771516274.4295998
1459,1754,1771516274.4795916
1469,1928,1771516274.5309074
1468,1414,1771516274.5782194
1461,1623,1771516274.6377504
1463,527,1771516274.796716
1467,509,1771516274.8461246
1471,709,1771516274.906638
1467,710,1771516274.9490438
1459,885,1771516274.9958758
1469,474,1771516275.0440438
1460,436,1771516275.0940177
1467,1785,1771516275.151373
1463,1457,1771516275.198575
1461,1769,1771516275.2527552
1485,3624,1771516275.313008
1460,1623,1771516275.3615887
1467,2299,1771516275.4140189
1471,1224,1771516275.4610736
1463,1392,1771516275.5134172
210,2757,1771516275.5617256
202,140,1771516275.6168787
1613,810,1771516275.6608384
198,2797,1771516275.7156656
1666,157,1771516275.7606504
1681,869,1771516275.810945
191,116,1771516276.1197326
178,119,1771516276.1680684
196,92,1771516276.2157462
3603,81,1771516276.2886376
200,64,1771516276.3751898
193,68,1771516276.4293559
201,67,1771516276.478439
198,58,1771516276.526159
194,60,1771516276.5824268
188,50,1771516276.6277015
194,50,1771516276.6817713
203,52,1771516276.7292686
208,52,1771516276.7869449
199,52,1771516276.8313148
187,46,1771516276.8827329
182,47,1771516276.9500344
182,47,1771516276.9970434
185,46,1771516277.0432022
191,47,1771516277.093913
185,46,1771516277.1463976
192,47,1771516277.1980124
173,59,1771516277.816787
141,72,1771516278.1385477
224,2751,1771516278.9854114
236,2725,1771516279.298048
316,2719,1771516279.611975
352,2715,1771516279.85187
3087,1422,1771516280.326386
2711,1131,1771516280.3785105
3076,941,1771516280.4318085
3080,1418,1771516280.4918237
2729,1413,1771516280.5455744
2720,1415,1771516280.600278
2725,1421,1771516280.6640296
2731,1415,1771516280.7112517
2735,1412,1771516280.7646606
2729,1408,1771516280.8207703
3081,1417,1771516280.8789434
2723,1417,1771516280.930663
2732,2783,1771516280.9948807
2713,1101,1771516281.0469449
2721,2790,1771516281.1116087
2727,2911,1771516281.1738737
2721,1407,1771516281.3688748
2724,1327,1771516281.4274995
2711,67,1771516281.4797614
880,58,1771516281.529198
2711,1154,1771516281.6450944
2712,1159,1771516281.6986492
2721,1197,1771516281.7531548
2710,1131,1771516281.8114843
2703,1183,1771516282.0397668
2699,1131,1771516282.0983777
928,1132,1771516282.1490939
741,1126,1771516282.196229
781,1133,1771516282.2449377
793,1112,1771516282.2921386
2670,1107,1771516282.3453689
2670,1077,1771516282.395637
2662,1047,1771516282.4478123
2662,1012,1771516282.5001714
2665,989,1771516282.5604718
973,968,1771516282.6178603
801,953,1771516282.65823
727,928,1771516282.7107856
783,918,1771516282.7637424
1430,922,1771516282.816073
1697,935,1771516282.8763418
2684,966,1771516282.937284
2681,994,1771516282.9783876
2707,1028,1771516283.0320683
2681,1055,1771516283.0773022
2501,1087,1771516283.1356647
2292,1097,1771516283.177187
2239,1135,1771516283.231409
2176,1154,1771516283.2763696
2171,1163,1771516283.3277023
2262,1171,1771516283.380573
2161,1159,1771516283.4288976
2172,1144,1771516283.4763625
2030,1137,1771516283.530273
2638,1134,1771516283.584326
1867,1122,1771516283.6247234
1427,1126,1771516283.6782231
1251,1144,1771516283.7258325
1298,1170,1771516283.7806232
2150,1219,1771516283.8286185
2640,957,1771516283.8770413
2094,2508,1771516283.9250393
832,965,1771516283.98272
1068,972,1771516284.0326185
1149,935,1771516284.080369
1465,1053,1771516284.1289926
1556,958,1771516284.1842015
1667,1049,1771516284.236334
1171,1124,1771516284.2940018
1319,978,1771516284.3443635
1337,1260,1771516284.3943253
972,1154,1771516284.4520166
986,1151,1771516284.495886
992,1134,1771516284.5511007
1011,1136,1771516284.5951233
1040,1342,1771516284.641983
1035,979,1771516284.6930602
951,850,1771516284.7443578
1196,904,1771516284.7956161
988,755,1771516284.8458314
1247,767,1771516284.9032795
1004,988,1771516284.9562867
971,950,1771516285.0118306
976,956,1771516285.0118306
1299,1477,1771516285.0627944
778,1591,1771516285.1154451
1135,1569,1771516285.161451
1504,1280,1771516285.2193077
1489,1532,1771516285.2630312
1489,1553,1771516285.316695
1493,1804,1771516285.3834221
1231,832,1771516285.4728897
1140,861,1771516285.5285528
1134,966,1771516285.5883129
566,521,1771516285.646229
1475,880,1771516285.6970294
1473,871,1771516285.7472885
1479,875,1771516285.8179018
1490,87,1771516285.892662
1479,917,1771516285.892662
1480,929,1771516285.941557
1459,937,1771516285.9920526
1496,936,1771516286.045217
1487,932,1771516286.0954235
1497,927,1771516286.1450667
1494,925,1771516286.2031221
1143,913,1771516286.2444887
1519,922,1771516286.2971041
1132,914,1771516286.3421679
1169,939,1771516286.4019063
1185,917,1771516286.4429078
1170,935,1771516286.4970484
1002,815,1771516288.0081978
941,811,1771516288.064907
999,876,1771516288.1116748
1112,563,1771516288.16191
756,585,1771516288.2642
1053,588,1771516288.3180468
1049,622,1771516288.3774524
962,1697,1771516289.4412131
1066,980,1771516289.4959807
1112,918,1771516289.5448585
3240,896,1771516289.5999837
1111,884,1771516289.6474442
1285,868,1771516289.6944985
1272,860,1771516289.746985
962,875,1771516289.796355
1316,856,1771516289.8462963
1328,853,1771516289.8950038
1677,666,1771516290.4629366
1245,617,1771516290.510513
1682,608,1771516290.562472
1676,610,1771516290.613586
1211,607,1771516290.6634212
1674,606,1771516290.7136447
1679,603,1771516290.7606483
1208,613,1771516290.8130076
1203,639,1771516290.8655949
1184,669,1771516290.9111254
1184,654,1771516290.9700031
1179,658,1771516291.0119991
1196,660,1771516291.059975
1241,658,1771516291.1105962
1205,654,1771516291.1660185
1237,679,1771516291.210794
1231,638,1771516291.2597022
1216,637,1771516291.3127925
1239,636,1771516291.3649502
1229,639,1771516291.412633
1262,643,1771516291.4578729
1705,641,1771516291.5100555
1700,648,1771516291.5619297
1699,673,1771516291.6110685
1699,658,1771516291.6627219
1700,655,1771516291.710735
1698,663,1771516291.761004
1701,665,1771516291.8115969
1698,648,1771516291.861713
1696,625,1771516291.9144113
1704,614,1771516291.961813
1695,608,1771516292.0124595
1698,586,1771516292.0635445
1688,574,1771516292.1109157
1690,564,1771516292.1617575
1685,275,1771516292.2105632
1239,259,1771516292.268699
1214,239,1771516292.3109837
1247,216,1771516292.3628428
687,198,1771516292.4086776
684,189,1771516292.4669409
699,190,1771516292.5109992
712,436,1771516292.5590048
731,418,1771516292.6107216
758,397,1771516292.662928
645,372,1771516292.7116723
706,371,1771516292.7625403
921,367,1771516292.8095162
720,369,1771516292.8618891
754,1327,1771516292.9648545
762,348,1771516293.0266955
772,348,1771516293.081301
570,333,1771516293.1349545
706,342,1771516293.1803432
636,336,1771516293.239155
776,340,1771516293.303226
780,355,1771516293.363219
795,364,1771516293.363219
811,371,1771516293.4132767
808,378,1771516293.4645202
786,395,1771516293.5098069
805,409,1771516293.5738683
806,433,1771516293.6147707
804,469,1771516293.6626062
925,505,1771516293.712577
802,1493,1771516293.7694004
842,532,1771516293.8119705
1449,590,1771516293.8629248
1451,597,1771516293.9136448
1432,595,1771516293.9659865
1441,616,1771516294.0178986
1016,1593,1771516294.0749934
1020,706,1771516294.127474
590,890,1771516294.1859562
914,664,1771516294.2449343
1015,663,1771516294.3029282
1014,617,1771516294.3708267
1005,621,1771516294.3708267
1028,721,1771516294.4146206
1047,624,1771516294.4639642
1076,845,1771516294.530198
1075,607,1771516294.5793703
444,612,1771516294.6359563
914,614,1771516294.7003245
1090,612,1771516294.759638
1084,608,1771516294.8122685
1096,631,1771516294.8611574
1124,665,1771516294.9189835
1150,589,1771516294.9763727
1544,597,1771516294.9773724
1563,604,1771516295.045042
1169,606,1771516295.0937808
971,593,1771516295.1466775
1063,486,1771516295.200352
1578,1667,1771516295.2449145
990,1579,1771516295.2927074
1039,588,1771516295.3442168
1017,585,1771516295.3956592
1005,569,1771516295.4467525
1018,591,1771516295.4953797
1013,604,1771516295.5451777
1073,637,1771516295.5973685
1031,591,1771516295.647961
1159,478,1771516295.6955018
1058,603,1771516295.7442575
1020,618,1771516295.7960036
1056,601,1771516295.8429859
1009,584,1771516295.9015512
1194,583,1771516295.9612272
1231,572,1771516296.0096622
1026,592,1771516296.066329
1036,586,1771516296.1106856
1180,584,1771516296.167646
1089,592,1771516296.167646
1050,610,1771516296.2340853
1075,607,1771516296.2941887
1017,609,1771516296.3441951
1105,673,1771516296.4002783
993,650,1771516296.4502232
993,655,1771516296.4935436
1047,668,1771516296.545474
1044,666,1771516296.596473
1039,664,1771516296.64353
987,677,1771516296.697655
2084,691,1771516296.7439284
1012,677,1771516296.7941525
1022,689,1771516296.852143
1176,690,1771516296.9126995
1210,688,1771516296.9622095
1171,682,1771516297.013642
1571,692,1771516297.0689836
875,698,1771516297.1343699
862,707,1771516297.1343699
853,714,1771516297.1962867
836,720,1771516297.2440133
831,721,1771516297.2938166
829,719,1771516297.3503273
829,718,1771516297.4000254
819,724,1771516297.449019
825,721,1771516297.4990199
1960,732,1771516297.5477896
1945,732,1771516297.5933597
1121,732,1771516297.6419675
1930,742,1771516297.6957865
1160,742,1771516297.745333
1914,745,1771516297.795982
1457,729,1771516297.9855013
1936,709,1771516298.0448542
1149,703,1771516298.095704
803,705,1771516298.1467493
1134,722,1771516298.1951237
2009,686,1771516298.244025
866,679,1771516298.30015
1154,660,1771516298.349326
1004,639,1771516298.3964276
2041,646,1771516298.4450774
1045,636,1771516298.4948387
1059,594,1771516298.546273
981,634,1771516298.599638
995,595,1771516298.6457572
1551,573,1771516298.709561
1536,553,1771516298.761443
739,537,1771516298.8111393
764,542,1771516298.863884
1026,1451,1771516298.9108756
994,478,1771516298.9643986
822,474,1771516299.099046
891,1334,1771516299.1533144
785,1416,1771516299.3176074
706,440,1771516299.4794106
801,411,1771516299.5290227
802,427,1771516299.580055
801,495,1771516299.6292183
844,503,1771516299.6814058
763,484,1771516299.7862406
732,523,1771516299.846227
917,504,1771516299.893584
757,511,1771516299.947903
794,528,1771516299.9993527
865,549,1771516300.0477881
771,556,1771516300.0919385
1340,596,1771516300.1451137
1334,1498,1771516300.1973631
1307,591,1771516300.245615
1804,599,1771516300.292498
1301,598,1771516300.343103
1293,609,1771516300.3936648
1337,617,1771516300.4441426
1318,626,1771516300.4929209
1321,626,1771516300.544355
1328,643,1771516300.5947149
1345,647,1771516300.644921
1348,640,1771516300.6931968
1411,653,1771516300.8030627
1900,660,1771516300.8647337
773,667,1771516300.910945
1087,655,1771516300.961697
1969,656,1771516301.0095809
1007,695,1771516301.061883
961,671,1771516301.1116517
1202,634,1771516301.1620142
2037,647,1771516301.215022
2041,640,1771516301.2612596
1014,635,1771516301.3167179
996,631,1771516301.3626363
1160,637,1771516301.4158583
1245,641,1771516301.4638398
1042,636,1771516301.5119553
1050,641,1771516301.5635877
1054,655,1771516301.6129074
975,634,1771516301.6666076
958,648,1771516301.7292125
1521,646,1771516301.7777927
1498,623,1771516301.826961
1141,619,1771516301.879967
1962,604,1771516301.9314291
1463,593,1771516301.9803715
1469,585,1771516302.0324266
1084,558,1771516302.110723
960,522,1771516302.160571
921,508,1771516302.2109973
901,448,1771516302.314485
904,433,1771516302.3651514
895,1447,1771516302.4196184
777,422,1771516302.4827542
763,441,1771516302.5306747
776,432,1771516302.576934
744,422,1771516302.6209002
743,421,1771516302.6815279
725,432,1771516302.7276108
846,441,1771516302.7816286
699,478,1771516302.8713198
784,474,1771516302.9295902
781,484,1771516302.9775116
687,510,1771516303.0252767
784,529,1771516303.0805573
1304,551,1771516303.126672
1292,570,1771516303.1777034
1296,586,1771516303.2281024
1318,600,1771516303.2799072
1316,635,1771516303.330368
1836,640,1771516303.3812854
1356,641,1771516303.4383285
1396,660,1771516303.4786692
733,659,1771516303.532693
731,678,1771516303.5791378
768,693,1771516303.6372738
1452,699,1771516303.677377
1500,706,1771516303.729273
1489,705,1771516303.776932
1146,708,1771516303.8325338
1157,694,1771516303.876066
1562,807,1771516303.9276938
1181,729,1771516303.9765255
931,733,1771516304.0286086
1010,1916,1771516304.0814629
1015,782,1771516304.1451247
567,1424,1771516304.1921678
793,873,1771516304.2440348
982,907,1771516304.2959964
1140,1034,1771516304.3416262
849,903,1771516304.395731
1068,913,1771516304.4431152
821,884,1771516304.4944825
1018,889,1771516304.5427303
965,889,1771516304.593011
986,899,1771516304.6425068
1020,904,1771516304.6938486
1046,917,1771516304.7484083
1042,933,1771516304.7959862
1068,945,1771516304.8488004
1102,958,1771516304.8949614
1089,985,1771516304.9449182
